0,1,2,3,4,5,6
ZQuestClassic,kain2,-46.0,nan,nan,nan,False
ZQuestClassic,kram,-47.0,nan,nan,nan,False
ZQuestClassic,lammps,-47.0,nan,nan,nan,False
ZQuestClassic,lbstanza,-47.0,nan,nan,nan,False
ZQuestClassic,ldp,-47.0,nan,nan,nan,False
ZQuestClassic,libbulletjme,-34.0,nan,nan,nan,False
ZQuestClassic,libki-client,-47.0,nan,nan,nan,False
ZQuestClassic,libmem,-42.0,nan,nan,nan,False
ZQuestClassic,libmongocrypt,-7.0,nan,nan,nan,False
ZQuestClassic,libosdp-conformance,-47.0,nan,nan,nan,False
ZQuestClassic,libphonenumber,-47.0,nan,nan,nan,False
ZQuestClassic,libpressio,-47.0,nan,nan,nan,False
ZQuestClassic,libredwg,-29.0,nan,nan,nan,False
ZQuestClassic,libuseful,-47.0,nan,nan,nan,False
ZQuestClassic,libvma,-47.0,nan,nan,nan,False
ZQuestClassic,libxlsxwriter,-46.0,nan,nan,nan,False
ZQuestClassic,lima,-47.0,nan,nan,nan,False
ZQuestClassic,limine,7.0,nan,nan,nan,False
ZQuestClassic,link-grammar,-45.0,nan,nan,nan,False
ZQuestClassic,linux,110.0,nan,nan,nan,False
ZQuestClassic,linux-mainline-and-mali-generic-stable-kernel,-47.0,nan,nan,nan,False
ZQuestClassic,lith,-47.0,nan,nan,nan,False
ZQuestClassic,llama.cpp,-13.0,nan,nan,nan,False
ZQuestClassic,longtail,-39.0,nan,nan,nan,False
ZQuestClassic,lsquic,-46.0,nan,nan,nan,False
ZQuestClassic,lyre,-47.0,nan,nan,nan,False
ZQuestClassic,maaassistantarknights,-47.0,nan,nan,nan,False
ZQuestClassic,magic,-46.0,nan,nan,nan,False
ZQuestClassic,magisk,-40.0,nan,nan,nan,False
ZQuestClassic,mame,-47.0,nan,nan,nan,False
ZQuestClassic,maven,-47.0,nan,nan,nan,False
ZQuestClassic,mb-system,-47.0,nan,nan,nan,False
ZQuestClassic,mbed-os,-5.0,nan,nan,nan,False
ZQuestClassic,megachat,-47.0,nan,nan,nan,False
ZQuestClassic,megasync,-47.0,nan,nan,nan,False
